algorithm,n_clusters,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,fmi,vi,micro_precision,micro_recall,micro_f1,noise_points,noise_percentage,clustered_points,clustered_percentage,total_points_in_dataset,compared_points
"DBSCAN (euclidean, eps=0.25, min_samples=5)",10,0.9999864892293375,1.0835375603191625e+32,1.935355484395069e-05,-0.01322259098936548,0.17531367213055513,0.11264947491594166,0.39509619670609203,0.17531367213055513,0.3575416831230785,0.21788614302210307,0.27076680954828686,0.18713377414273935,3.2131300969731655,0.17033773861967694,0.17033773861967694,0.17033773861967694,561.0,82.1376281112738,122.0,17.86237188872621,683,681
"DBSCAN (euclidean, eps=0.5, min_samples=2)",42,0.9999710355642486,4.029202561415671e+31,4.7038560390441156e-05,-0.010990075330416564,0.2754144427073967,0.209506874190145,0.40182101666902054,0.2754144427073967,0.418427188302707,0.12885339821490546,0.19703152805540575,0.16405855600906835,3.342161022891726,0.17474302496328928,0.17474302496328928,0.17474302496328928,483.0,70.71742313323573,200.0,29.282576866764277,683,681
"DBSCAN (euclidean, eps=0.5, min_samples=3)",21,0.9999752213001066,6.163402362447337e+31,3.591353518331438e-05,-0.015646682888232098,0.21754733662932502,0.15135416178999578,0.38664059640656656,0.21754733662932507,0.28729193050416757,0.1332755193662267,0.18208247575730505,0.17127538132495998,3.300842482273327,0.1644640234948605,0.1644640234948605,0.1644640234948605,525.0,76.86676427525623,158.0,23.133235724743777,683,681
"DBSCAN (euclidean, eps=0.5, min_samples=4)",13,0.9999810298592742,8.88346984315101e+31,3.20887112376151e-05,-0.01389373513366773,0.1883429793230261,0.12426678556671045,0.38884443433048127,0.1883429793230261,0.3164415674862266,0.19214863618403338,0.2391073016571032,0.18201982632626826,3.2471646346474357,0.16886930983847284,0.16886930983847284,0.16886930983847284,549.0,80.38067349926794,134.0,19.619326500732065,683,681
"DBSCAN (euclidean, eps=0.5, min_samples=5)",10,0.9999864892293375,1.0835375603191625e+32,1.935355484395069e-05,-0.01322259098936548,0.17531367213055513,0.11264947491594166,0.39509619670609203,0.17531367213055513,0.3575416831230785,0.21788614302210307,0.27076680954828686,0.18713377414273935,3.2131300969731655,0.17033773861967694,0.17033773861967694,0.17033773861967694,561.0,82.1376281112738,122.0,17.86237188872621,683,681
"DBSCAN (euclidean, eps=0.75, min_samples=2)",42,0.9999710355642486,4.029202561415671e+31,4.7038560390441156e-05,-0.010990075330416564,0.2754144427073967,0.209506874190145,0.40182101666902054,0.2754144427073967,0.418427188302707,0.12885339821490546,0.19703152805540575,0.16405855600906835,3.342161022891726,0.17474302496328928,0.17474302496328928,0.17474302496328928,483.0,70.71742313323573,200.0,29.282576866764277,683,681
"DBSCAN (euclidean, eps=0.75, min_samples=3)",21,0.9999752213001066,6.163402362447337e+31,3.591353518331438e-05,-0.015646682888232098,0.21754733662932502,0.15135416178999578,0.38664059640656656,0.21754733662932507,0.28729193050416757,0.1332755193662267,0.18208247575730505,0.17127538132495998,3.300842482273327,0.1644640234948605,0.1644640234948605,0.1644640234948605,525.0,76.86676427525623,158.0,23.133235724743777,683,681
"DBSCAN (euclidean, eps=0.75, min_samples=4)",13,0.9999810298592742,8.88346984315101e+31,3.20887112376151e-05,-0.01389373513366773,0.1883429793230261,0.12426678556671045,0.38884443433048127,0.1883429793230261,0.3164415674862266,0.19214863618403338,0.2391073016571032,0.18201982632626826,3.2471646346474357,0.16886930983847284,0.16886930983847284,0.16886930983847284,549.0,80.38067349926794,134.0,19.619326500732065,683,681
"DBSCAN (euclidean, eps=0.75, min_samples=5)",10,0.9999864892293375,1.0835375603191625e+32,1.935355484395069e-05,-0.01322259098936548,0.17531367213055513,0.11264947491594166,0.39509619670609203,0.17531367213055513,0.3575416831230785,0.21788614302210307,0.27076680954828686,0.18713377414273935,3.2131300969731655,0.17033773861967694,0.17033773861967694,0.17033773861967694,561.0,82.1376281112738,122.0,17.86237188872621,683,681
"DBSCAN (euclidean, eps=1.0, min_samples=2)",42,0.9999710355642486,4.029202561415671e+31,4.7038560390441156e-05,-0.010990075330416564,0.2754144427073967,0.209506874190145,0.40182101666902054,0.2754144427073967,0.418427188302707,0.12885339821490546,0.19703152805540575,0.16405855600906835,3.342161022891726,0.17474302496328928,0.17474302496328928,0.17474302496328928,483.0,70.71742313323573,200.0,29.282576866764277,683,681
"DBSCAN (euclidean, eps=1.0, min_samples=3)",21,0.9999752213001066,6.163402362447337e+31,3.591353518331438e-05,-0.015646682888232098,0.21754733662932502,0.15135416178999578,0.38664059640656656,0.21754733662932507,0.28729193050416757,0.1332755193662267,0.18208247575730505,0.17127538132495998,3.300842482273327,0.1644640234948605,0.1644640234948605,0.1644640234948605,525.0,76.86676427525623,158.0,23.133235724743777,683,681
